,reason_1,reason_2,reason_3,reason_4,Date,Transportation Expense,Distance to Work,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours,Month Value,Day Of week
0,0,0,0,1,2015-07-07,289,36,239.554,30,0,2,1,4,7,1
1,0,0,0,0,2015-07-14,118,13,239.554,31,0,1,0,0,7,1
2,0,0,0,1,2015-07-15,179,51,239.554,31,0,0,0,2,7,2
3,1,0,0,0,2015-07-16,279,5,239.554,24,0,2,0,4,7,3
4,0,0,0,1,2015-07-23,289,36,239.554,30,0,2,1,2,7,3
5,0,0,0,1,2015-07-10,179,51,239.554,31,0,0,0,2,7,4
6,0,0,0,1,2015-07-17,361,52,239.554,27,0,1,4,8,7,4
7,0,0,0,1,2015-07-24,260,50,239.554,23,0,4,0,4,7,4
8,0,0,1,0,2015-07-06,155,12,239.554,25,0,2,0,40,7,0
9,0,0,0,1,2015-07-13,235,11,239.554,29,1,1,1,8,7,0
10,1,0,0,0,2015-07-20,260,50,239.554,23,0,4,0,8,7,0
11,1,0,0,0,2015-07-14,260,50,239.554,23,0,4,0,8,7,1
12,1,0,0,0,2015-07-15,260,50,239.554,23,0,4,0,8,7,2
13,1,0,0,0,2015-07-15,179,51,239.554,31,0,0,0,1,7,2
14,0,0,0,1,2015-07-15,179,51,239.554,31,0,0,0,4,7,2
15,1,0,0,0,2015-07-17,246,25,239.554,23,0,0,0,8,7,4
16,0,0,0,1,2015-07-17,179,51,239.554,31,0,0,0,2,7,4
17,0,0,1,0,2015-07-27,179,51,239.554,31,0,0,0,8,7,0
18,1,0,0,0,2015-07-30,189,29,239.554,25,0,2,2,8,7,3
19,0,0,0,1,2015-08-05,248,25,205.917,32,0,2,1,2,7,2
20,1,0,0,0,2015-08-12,330,16,205.917,25,1,0,0,8,7,2
21,1,0,0,0,2015-08-03,179,51,205.917,31,0,0,0,1,7,0
22,1,0,0,0,2015-08-10,361,52,205.917,27,0,1,4,40,7,0
23,0,0,0,1,2015-08-14,260,50,205.917,23,0,4,0,4,7,4
24,0,0,1,0,2015-08-17,289,36,205.917,30,0,2,1,8,7,0
25,0,0,0,1,2015-08-24,361,52,205.917,27,0,1,4,7,7,0
26,0,0,0,1,2015-08-04,289,36,205.917,30,0,2,1,1,7,1
27,0,0,0,1,2015-08-12,157,27,205.917,22,0,0,0,4,7,2
28,0,0,1,0,2015-08-19,289,36,205.917,30,0,2,1,8,7,2
29,0,0,0,1,2015-08-28,179,51,205.917,31,0,0,0,2,7,4
30,0,0,1,0,2015-08-17,179,51,205.917,31,0,0,0,8,7,0
31,0,0,1,0,2015-08-27,235,29,205.917,33,0,1,5,8,7,3
32,0,0,0,1,2015-08-27,235,11,205.917,29,1,1,1,4,7,3
33,0,0,1,0,2015-08-17,235,29,205.917,33,0,1,5,8,7,0
34,0,0,0,1,2015-08-17,179,51,205.917,31,0,0,0,2,7,0
35,0,0,0,1,2015-08-17,361,52,205.917,27,0,1,4,1,7,0
36,0,0,0,1,2015-08-04,289,36,205.917,30,0,2,1,8,7,1
37,1,0,0,0,2015-08-20,291,50,205.917,23,0,0,0,4,7,3
38,0,0,0,1,2015-08-21,235,29,205.917,33,0,1,5,8,7,4
39,0,0,0,1,2015-08-28,260,50,205.917,23,0,4,0,4,7,4
40,0,0,0,1,2015-09-01,184,42,241.476,21,0,0,0,2,7,1
41,0,0,0,1,2015-09-07,118,10,241.476,28,0,0,0,4,7,0
42,0,0,0,1,2015-09-01,179,51,241.476,31,0,0,0,4,7,1
43,0,0,1,0,2015-09-08,235,20,241.476,38,0,1,0,8,7,1
44,0,0,0,1,2015-09-09,155,12,241.476,25,0,2,0,2,7,2
